dsample,RMSE_surf,R2_surf,MAE_surf,RMSE_kndm,R2_kndm,MAE_kndm,WS
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.15130640580655502,0.6040327065603385,0.11509747777859371,44712.07835692601
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.15161603411792002,0.6009312951323195,0.11854653329746488,43208.2602832831
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.1422193360305866,0.6456130905292978,0.11464653311648716,42631.29160269749
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.13906368141637174,0.6608540914730008,0.11112829927707711,39918.076570227684
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.1376549838273963,0.6858195028838074,0.10908156330183146,40868.60488311844
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.14193147622526237,0.6599310514877217,0.11088256764926016,38316.01341656898
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.1588742014686727,0.5600330928528254,0.13231871980583604,39073.80724532953
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.14573941573887958,0.6180317498165586,0.11339739322482921,31456.065180867623
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.13393219557488203,0.6875671224794072,0.10717113609405234,29229.90903086885
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.13376110603622565,0.6874928815514736,0.10683464204820492,26101.911009352705
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.1365249852431706,0.6673487041516215,0.10947804909278637,23792.829445930285
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.13136768168695112,0.7103093142525162,0.10387447693313781,26101.911009352705
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.13322084079551916,0.6833686576656403,0.1032788610218279,22885.7095179515
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.1323278888188509,0.6870380210169995,0.09783242092646967,20235.971472339785
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.129573734888658,0.7055806709528087,0.09641272467247208,22073.51124251891
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.13786583688406678,0.6662846126008599,0.10605473302987714,20201.147130326714
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.11280671931775205,0.7862325484370298,0.0836282538989714,21036.08862651417
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.122761594979569,0.73390352900587,0.09053389766854544,20140.78756404917
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.12870651217592724,0.6956752609864977,0.09296677006873302,18430.170441460294
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.12917989621629364,0.6941089829676409,0.09364152298705342,18877.410989612712
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.12682115159020954,0.7105205615217859,0.09050135912446304,17163.131443599286
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.12149892364834812,0.7395343694518178,0.0911413386795825,20349.749410171116
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.13227079341817236,0.6769135345311927,0.09472636379805394,22704.273454746413
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.11803067661531091,0.7540937647347161,0.08965184157593173,23018.91433669232
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.1289515518928669,0.702226131851232,0.09309394394101266,19749.69432642248
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.12979324648588583,0.6947806334295902,0.09427207738082546,18962.837106199928
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.1401684748019653,0.6561613794345931,0.10296067043613019,17904.47147823102
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.11621250766351972,0.7618160513703377,0.08795874080353416,22148.149546581983
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.12041048003356196,0.7421502517616564,0.08849203553801403,22700.6593067621
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.1222283193252955,0.7332168418064867,0.09094635915178494,21335.06830848197
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.11804287370568851,0.7520108823275526,0.0863338968012513,21589.875752427233
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.11027074303324595,0.7923618750865691,0.08366019246459629,21614.841545513755
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.13529549405193497,0.6625746595339884,0.09544374202368472,21162.488033192185
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.10785866189485656,0.8064279625786531,0.08037248008471604,21262.41867618383
wclust,0.10671308935929918,0.79924941987336,0.07990574875515709,0.11349714355055192,0.7822332723158981,0.08622303971836344,22864.871839093303
