"","method","variate","design","number","RMSE","k","methodID","rRMSE"
"65","exhaustive_caret_5k","AGB","clusterGapped",65,32.9512738767548,NA,0,0
"66","exhaustive_caret_5k","AGB","clusterGapped",66,28.7756771942454,NA,0,0
"67","exhaustive_caret_5k","AGB","clusterGapped",67,31.918875390606,NA,0,0
"68","exhaustive_caret_5k","AGB","clusterGapped",68,31.2607678326346,NA,0,0
"69","exhaustive_caret_5k","AGB","clusterGapped",69,31.0618427814014,NA,0,0
"70","exhaustive_caret_5k","AGB","clusterGapped",70,29.4344259078447,NA,0,0
"71","exhaustive_caret_5k","AGB","clusterGapped",71,30.8782413193453,NA,0,0
"72","exhaustive_caret_5k","AGB","clusterGapped",72,34.1211097571632,NA,0,0
"73","exhaustive_caret_5k","AGB","clusterGapped",73,29.5478010329755,NA,0,0
"74","exhaustive_caret_5k","AGB","clusterGapped",74,29.9302919133896,NA,0,0
"75","exhaustive_caret_5k","AGB","clusterGapped",75,32.0854349993028,NA,0,0
"76","exhaustive_caret_5k","AGB","clusterGapped",76,32.6067899401986,NA,0,0
"77","exhaustive_caret_5k","AGB","clusterGapped",77,29.2821007223818,NA,0,0
"78","exhaustive_caret_5k","AGB","clusterGapped",78,33.0854008199698,NA,0,0
"79","exhaustive_caret_5k","AGB","clusterGapped",79,32.5839638448172,NA,0,0
"80","exhaustive_caret_5k","AGB","clusterGapped",80,29.1967101587749,NA,0,0
"81","exhaustive_caret_5k","AGB","clusterGapped",81,31.2312304257205,NA,0,0
"82","exhaustive_caret_5k","AGB","clusterGapped",82,28.7870914801446,NA,0,0
"83","exhaustive_caret_5k","AGB","clusterGapped",83,29.2431634232933,NA,0,0
"84","exhaustive_caret_5k","AGB","clusterGapped",84,31.6606490720071,NA,0,0
"85","exhaustive_caret_5k","AGB","clusterGapped",85,30.6899941770639,NA,0,0
"86","exhaustive_caret_5k","AGB","clusterGapped",86,30.3122523551227,NA,0,0
"87","exhaustive_caret_5k","AGB","clusterGapped",87,33.3348008592162,NA,0,0
"88","exhaustive_caret_5k","AGB","clusterGapped",88,30.5352147730139,NA,0,0
"89","exhaustive_caret_5k","AGB","clusterGapped",89,30.3431843374934,NA,0,0
"90","exhaustive_caret_5k","AGB","clusterGapped",90,30.5214989965919,NA,0,0
"91","exhaustive_caret_5k","AGB","clusterGapped",91,35.7933149497236,NA,0,0
"92","exhaustive_caret_5k","AGB","clusterGapped",92,34.1910666169597,NA,0,0
"93","exhaustive_caret_5k","AGB","clusterGapped",93,32.0669468679738,NA,0,0
"94","exhaustive_caret_5k","AGB","clusterGapped",94,30.5247764770038,NA,0,0
"95","exhaustive_caret_5k","AGB","clusterGapped",95,29.6875037167683,NA,0,0
"96","exhaustive_caret_5k","AGB","clusterGapped",96,31.0140441040718,NA,0,0
"97","exhaustive_caret_5k","AGB","clusterGapped",97,31.2127515521433,NA,0,0
"98","exhaustive_caret_5k","AGB","clusterGapped",98,29.3855254101676,NA,0,0
"99","exhaustive_caret_5k","AGB","clusterGapped",99,30.9526357549705,NA,0,0
"100","exhaustive_caret_5k","AGB","clusterGapped",100,30.6069941495891,NA,0,0
"101","exhaustive_caret_5k","AGB","clusterMedium",1,27.4300689196426,NA,0,0
"102","exhaustive_caret_5k","AGB","clusterMedium",2,27.0717613514762,NA,0,0
"103","exhaustive_caret_5k","AGB","clusterMedium",3,27.0238758794264,NA,0,0
"104","exhaustive_caret_5k","AGB","clusterMedium",4,27.1110744951492,NA,0,0
"105","exhaustive_caret_5k","AGB","clusterMedium",5,27.3287751443922,NA,0,0
"106","exhaustive_caret_5k","AGB","clusterMedium",6,26.8633178834199,NA,0,0
"107","exhaustive_caret_5k","AGB","clusterMedium",7,27.2982140548965,NA,0,0
"108","exhaustive_caret_5k","AGB","clusterMedium",8,26.8811211980275,NA,0,0
"109","exhaustive_caret_5k","AGB","clusterMedium",9,27.5066227598103,NA,0,0
"110","exhaustive_caret_5k","AGB","clusterMedium",10,26.8764687581576,NA,0,0
"111","exhaustive_caret_5k","AGB","clusterMedium",11,26.9249414647079,NA,0,0
"112","exhaustive_caret_5k","AGB","clusterMedium",12,27.1244851141374,NA,0,0
"113","exhaustive_caret_5k","AGB","clusterMedium",13,27.0503043390639,NA,0,0
"114","exhaustive_caret_5k","AGB","clusterMedium",14,26.7759674554165,NA,0,0
"115","exhaustive_caret_5k","AGB","clusterMedium",15,27.2454693132344,NA,0,0
"116","exhaustive_caret_5k","AGB","clusterMedium",16,27.2841610564909,NA,0,0
"117","exhaustive_caret_5k","AGB","clusterMedium",17,27.2904572531533,NA,0,0
"118","exhaustive_caret_5k","AGB","clusterMedium",18,26.9841212093034,NA,0,0
"119","exhaustive_caret_5k","AGB","clusterMedium",19,26.9941979370968,NA,0,0
"120","exhaustive_caret_5k","AGB","clusterMedium",20,26.7577465571653,NA,0,0
"121","exhaustive_caret_5k","AGB","clusterMedium",21,26.9870184274713,NA,0,0
"122","exhaustive_caret_5k","AGB","clusterMedium",22,27.0180505838438,NA,0,0
"123","exhaustive_caret_5k","AGB","clusterMedium",23,26.5847846747941,NA,0,0
"124","exhaustive_caret_5k","AGB","clusterMedium",24,27.0401474597414,NA,0,0
"125","exhaustive_caret_5k","AGB","clusterMedium",25,26.9129562705992,NA,0,0
"126","exhaustive_caret_5k","AGB","clusterMedium",26,26.7123995444541,NA,0,0
"127","exhaustive_caret_5k","AGB","clusterMedium",27,27.0973961300872,NA,0,0
