dsample,time_kndm_mod,time_nndm_mod,time_kndm_alg,time_nndm_alg,n_tpoints
random,0.533000000000001,2.064,1.18,0.307000000000002,100
random,0.323,1.033,0.0349999999999966,0.369999999999997,200
random,0.335999999999999,2.104,0.0349999999999966,0.457000000000001,300
random,0.479999999999997,3.61600000000001,0.036999999999999,0.514999999999994,400
random,0.512000000000001,5.158,2.193,0.911000000000001,500
random,0.597000000000008,7.02799999999999,0.0390000000000015,1.023,600
random,0.718999999999994,10.592,0.0370000000000061,1.46600000000001,700
random,0.787999999999997,13.442,0.041000000000011,2.218,800
random,0.831999999999994,17.292,0.0420000000000016,1.774,900
random,0.972000000000008,21.27,0.0440000000000111,4.15100000000001,1000
random,1.036,25.739,0.0429999999999779,3.12299999999999,1100
random,1.13900000000001,31.381,0.0400000000000205,2.61199999999999,1200
random,1.238,38.596,0.0429999999999779,5.785,1300
random,1.37200000000001,44.27,0.0439999999999827,4.98599999999999,1400
random,1.44299999999998,52.092,0.0450000000000159,9.13099999999997,1500
random,1.66899999999998,60.149,0.0500000000000114,12.755,1600
random,1.851,70.79,11.825,15.834,1700
random,2.11199999999997,79.164,0.0459999999999354,8.952,1800
random,2.00400000000002,90.021,0.0489999999999782,10.89,1900
random,2.19799999999998,101.719,0.0470000000000255,14.1220000000001,2000
random,2.23000000000002,112.704,0.0559999999999263,25.224,2100
random,2.56399999999985,128.016,0.0500000000001819,32.8109999999999,2200
random,2.58400000000006,138.053,0.0480000000000018,10.9359999999999,2300
random,2.61500000000001,153.305,22.058,25.3009999999999,2400
random,2.97599999999989,167.494,0.0509999999999309,39.6610000000001,2500
random,3.17899999999986,183.385,0.0510000000001583,34.4739999999999,2600
random,3.03800000000001,201.027,0.0539999999998599,19.309,2700
random,2.99800000000005,218.248,31.2619999999997,93.281,2800
random,3.22499999999991,233.557,0.0530000000003383,55.2779999999998,2900
random,3.51299999999992,256.852,0.0540000000000873,35.4850000000001,3000
random,3.59500000000025,273.653,0.05600000000004,7.4079999999999,3100
random,3.68600000000015,294.334,0.0559999999995853,43.6680000000001,3200
random,3.94300000000021,314.559,0.0610000000001492,56.3499999999999,3300
random,4.15899999999965,337.509,0.0590000000001965,48.5190000000002,3400
random,4.24299999999948,359.648,0.058999999999287,36.6019999999999,3500
random,4.22000000000026,383.373000000001,0.056999999999789,140.323,3600
random,4.44399999999951,407.994,0.0629999999991924,91.6960000000008,3700
random,4.92399999999998,434.761,0.0590000000001965,94.6660000000002,3800
random,4.875,460.245999999999,0.0600000000004002,80.5159999999996,3900
random,5.14599999999973,487.492,0.0640000000003056,46.0150000000003,4000
random,5.07999999999993,516.699,0.0629999999991924,32.7239999999993,4100
random,5.20999999999913,548.245000000001,0.0640000000003056,44.973,4200
random,5.49300000000039,578.478000000001,0.0759999999991123,114.138999999999,4300
random,5.72400000000016,608.906000000001,0.0619999999998981,70.7110000000012,4400
random,5.88800000000083,640.209000000001,0.0649999999986903,172.59,4500
random,5.86200000000099,677.780999999999,0.0639999999984866,66.7780000000003,4600
random,5.9369999999999,709.286999999998,0.0669999999990978,90.9850000000006,4700
random,6.6200000000008,747.15,0.0609999999996944,158.314999999999,4800
random,6.50300000000061,779.812,0.0649999999986903,174.653,4900
random,6.85400000000118,815.593000000001,0.0680000000011205,85.6180000000004,5000
