dsample,k,RMSE_surf,MAE_surf,R2_surf,RMSE_knndm,MAE_knndm,R2_knndm,W_knndmCV
sregular,2,0.09017478324017657,0.0695930537231027,0.8945076372614634,0.11968471976979357,0.08957343798878291,0.7145197299093219,30442.765256646646
sregular,4,0.09441341242527437,0.07257856394075489,0.8841537031190864,0.11296401430823645,0.08185895015655084,0.7396008221355959,18108.205207775227
sregular,6,0.08943357809653038,0.06908772690549066,0.8980091399532462,0.10965430004240048,0.08153212144580359,0.7613449961720331,18845.092054325967
sregular,8,0.08958508107203592,0.06937582706035207,0.8940648189982291,0.10970845958508212,0.08134350819918637,0.7699966660101016,20212.54125374587
sregular,10,0.09451274198000545,0.07229666029846113,0.8878430101502317,0.10451716194515374,0.07937966667757679,0.7910926605236871,18677.58711052849
sregular,12,0.08943105757926278,0.06927714957180585,0.8944534514892872,0.10362778842094146,0.07782961393711468,0.7974725149680509,15842.332522476609
sregular,14,0.09078393147713068,0.07035693520934541,0.8930711082396408,0.10336453613215911,0.07823204246656348,0.7996682603006752,15071.57141685975
sregular,16,0.09094794431145169,0.07075490046044124,0.8918474886117623,0.1021112529799392,0.07633599210408827,0.7995222760103036,16276.186623002111
sregular,18,0.09034879025703843,0.06983196166985454,0.895585327693704,0.10941806298123916,0.08055032912500203,0.7627966480059639,15029.454996516146
sregular,20,0.09164145012644412,0.07083393743717649,0.889315314136719,0.10128228522124885,0.07567442603131135,0.8017690721330506,16582.748481695144
wregular,2,0.09017478324017657,0.0695930537231027,0.8945076372614634,0.11968471976979357,0.08957343798878291,0.7145197299093219,30442.765256646646
wregular,4,0.09441341242527437,0.07257856394075489,0.8841537031190864,0.11296401430823645,0.08185895015655084,0.7396008221355959,18108.205207775227
wregular,6,0.08943357809653038,0.06908772690549066,0.8980091399532462,0.10965430004240048,0.08153212144580359,0.7613449961720331,18845.092054325967
wregular,8,0.08958508107203592,0.06937582706035207,0.8940648189982291,0.10970845958508212,0.08134350819918637,0.7699966660101016,20212.54125374587
wregular,10,0.09451274198000545,0.07229666029846113,0.8878430101502317,0.10451716194515374,0.07937966667757679,0.7910926605236871,18677.58711052849
wregular,12,0.08943105757926278,0.06927714957180585,0.8944534514892872,0.10362778842094146,0.07782961393711468,0.7974725149680509,15842.332522476609
wregular,14,0.09078393147713068,0.07035693520934541,0.8930711082396408,0.10336453613215911,0.07823204246656348,0.7996682603006752,15071.57141685975
wregular,16,0.09094794431145169,0.07075490046044124,0.8918474886117623,0.1021112529799392,0.07633599210408827,0.7995222760103036,16276.186623002111
wregular,18,0.09034879025703843,0.06983196166985454,0.895585327693704,0.10941806298123916,0.08055032912500203,0.7627966480059639,15029.454996516146
wregular,20,0.09164145012644412,0.07083393743717649,0.889315314136719,0.10128228522124885,0.07567442603131135,0.8017690721330506,16582.748481695144
wregular,2,0.10487000320864051,0.07732201606000713,0.8189362209045165,0.10774673854531604,0.08290443168303287,0.7701738700098945,20028.613088514718
wregular,4,0.10323716582084336,0.07652086309481315,0.8285731628683892,0.10087418987550388,0.07890378360333468,0.7942166257316662,13688.08276630384
wregular,6,0.10002269207500294,0.07509925789700517,0.8388530175729124,0.09526634095705533,0.07279008127334943,0.814811400284717,7788.039503392943
wregular,8,0.10175732866208552,0.07538412428759328,0.8286923760991208,0.09529058282451791,0.07342592381427171,0.8224545551682427,7041.734547390238
wregular,10,0.10097303624349765,0.07526751445225219,0.8340932272781286,0.09202595633758222,0.07142114097412167,0.8348536430178042,7030.113093389321
