dsample,time_kndm_mod,time_nndm_mod,time_kndm_alg,time_nndm_alg,n_tpoints
random,0.361000000000001,2.591,0.0399999999999992,0.387,100
random,0.669000000000001,11.876,0.0410000000000004,0.471999999999998,200
random,1.022,28.025,1.778,0.590999999999994,300
random,1.45699999999999,56.632,0.0499999999999972,0.647999999999996,400
random,1.87100000000001,89.17,0.0450000000000159,0.788000000000011,500
random,2.37899999999999,139.542,0.049999999999983,1.43699999999998,600
random,2.87899999999996,200.168,0.0480000000000018,1.226,700
random,3.27999999999997,270.581,0.0529999999999973,1.29399999999998,800
random,3.96000000000004,357.735,0.0480000000000018,2.05099999999993,900
random,4.46599999999989,454.718,6.02999999999997,3.82399999999984,1000
random,5.0630000000001,556.755,6.81999999999994,4.41499999999996,1100
random,5.46799999999985,671.139,0.0540000000000873,2.78499999999985,1200
random,6.14499999999998,808.674,0.0639999999998508,3.12899999999991,1300
random,6.80600000000004,1001.211,0.0530000000003383,5.19499999999971,1400
random,7.48999999999978,1153.71,0.0609999999996944,5.46699999999964,1500
random,8.21599999999944,1438.187,0.056999999999789,5.79199999999946,1600
random,9.22400000000016,1617.684,0.0519999999996799,8.86399999999958,1700
random,10.1270000000004,1933.019,0.0520000000014989,7.10699999999997,1800
random,10.5720000000001,2092.54,0.069999999999709,10.0900000000001,1900
random,11.6369999999988,2477.031,0.0609999999996944,15.3169999999991,2000
random,12.848,2505.154,0.0640000000003056,8.10100000000057,2100
random,13.4729999999981,2855.975,0.0600000000013097,18.1769999999997,2200
random,13.9559999999983,3383.548,0.0570000000006985,12.737000000001,2300
random,15,3582.471,0.0580000000009022,36.3159999999989,2400
random,14.7360000000008,4076.129,0.0639999999984866,11.4629999999997,2500
random,16.0470000000023,4051.735,0.0600000000013097,30.0240000000013,2600
random,16.5160000000033,4534.172,0.0670000000027358,14.3760000000038,2700
random,16.3110000000015,4992.966,0.0590000000011059,35.1370000000024,2800
random,17.3130000000019,5556.732,0.0619999999980792,20.6320000000051,2900
random,19.2900000000009,6106.018,0.0599999999976717,54.0430000000051,3000
random,19.5619999999981,6262.634,0.0619999999980792,35.2669999999998,3100
random,20.7829999999958,6893.24000000001,43.1560000000027,99.7170000000042,3200
random,21.2419999999984,7392.049,0.0740000000077998,28.7050000000017,3300
random,22.0619999999908,8269.50599999999,0.0720000000001164,50.0210000000079,3400
random,23.2980000000098,8755.989,0.0670000000100117,43.8770000000077,3500
random,24.5749999999971,9175.113,0.0669999999954598,48.9309999999969,3600
random,26.125,9966.906,0.0849999999918509,23.7440000000061,3700
random,27.0679999999993,10476.727,0.0679999999993015,82.7560000000085,3800
random,27.4600000000064,11387.332,0.0670000000100117,128.428,3900
random,28.5439999999944,11368.341,0.0769999999902211,22.2660000000033,4000
