k,dsample,RMSE_surf,MAE_surf,R2_surf,RMSE_knndm,MAE_knndm,R2_knndm,W_knndmCV
2,sregular,0.09261459860457262,0.0715036236384331,0.8854824050479491,0.12174379540208582,0.09049995993128668,0.6987815324944183,40072.45166299977
2,wregular,0.10148740472303482,0.07530828916324887,0.8593917895405195,0.12991590541722475,0.1013042019748129,0.6462940817512524,44485.85076481515
2,random,0.08966776233874514,0.06683647936434323,0.8695563174411899,0.12939741782114064,0.09891934938285499,0.7588025671269778,8565.97339795681
2,wclust,0.10751473936460818,0.07648558936394925,0.8330046850562235,0.09982313419716511,0.07474763856578617,0.7979406072643799,3288.845298586868
2,sclust,0.1290632855599619,0.09423184962399807,0.6944471215256257,0.18140212710433412,0.14616342316533132,0.31110046793046436,27888.39826855133
4,sregular,0.08582086196265988,0.06666110783401556,0.8889109222879962,0.10805333569633453,0.0804726002132152,0.8236073018945119,24142.99074296844
4,wregular,0.09047776146498647,0.06805735445178271,0.8828376382433958,0.09569994498429842,0.07303027113782645,0.8417974574854854,8448.17575583013
4,random,0.09564812037252886,0.07242536611732163,0.8907202502105126,0.1000992541163103,0.07567305304434306,0.8314417124079139,15174.014397771454
4,wclust,0.10873774127886505,0.08015180148719399,0.8007258356313012,0.09257340732011891,0.06834150308951736,0.8452927699394622,8873.846268429785
4,sclust,0.13703739211692245,0.09875542001250148,0.670285205727334,0.13300113403902292,0.09725593396803052,0.6619031624758585,22468.73791583453
6,sregular,0.0883604392000273,0.0670046447984103,0.892956792729836,0.10656832854700812,0.08180434293084157,0.791713307654925,20734.797588220663
6,wregular,0.10028136797846011,0.07410123948242138,0.8595751946674537,0.09804369357540903,0.0724549324245236,0.7920903864956086,9646.176898383052
6,random,0.09634123761567871,0.07341940647249783,0.8578357231026705,0.09529865939433715,0.07183607225799311,0.8400226205643379,5038.093156952533
6,wclust,0.1329871960435532,0.09212333305130822,0.7323106740201931,0.11105704011185258,0.08382082514927412,0.741891764178932,15080.397312534013
6,sclust,0.10742863484444129,0.07831062762861885,0.8215678482367561,0.14244042398446558,0.11641540648670867,0.7810957149582348,19328.166325776867
8,sregular,0.09470432334512556,0.0700334331043299,0.8724639898347153,0.09969954559524682,0.07269211168850612,0.8438629335179723,14032.296733490779
8,wregular,0.09032745234331466,0.0666661359902337,0.8737714372075038,0.1081499937504119,0.08357493374926343,0.8413450126106257,9465.153760303245
8,random,0.09363805966666774,0.07049166836963414,0.8824262790239721,0.09380997218255503,0.07083068129700221,0.8400610404225638,9029.226054285844
8,wclust,0.11035535735676279,0.08321959201834386,0.8252092757928242,0.09657486288506856,0.07377077327941853,0.8233322468348665,18159.530697146194
8,sclust,0.11673913935868231,0.08356000531260786,0.7999910484820955,0.18302422550193567,0.1437757504545028,0.44438254880494843,11830.906994679151
10,sregular,0.08572077013873876,0.06504949299511459,0.8926909160666442,0.09461486042747135,0.07207378781609704,0.8572114480918459,16338.918369239587
10,wregular,0.08978674360739905,0.06685373729174734,0.8826767762206046,0.10926668069365937,0.08285203070941095,0.796145992674842,8473.284441919668
